GEOID,NAME,msa_short_name,wfh_prop
42091,"Montgomery County, Pennsylvania",Montgomery County,23.357211858687357
42029,"Chester County, Pennsylvania",Chester County,22.19654627586639
42101,"Philadelphia County, Pennsylvania",Philadelphia County,19.418811698995498
42017,"Bucks County, Pennsylvania",Bucks County,19.414051742772624
10003,"New Castle County, Delaware",New Castle County,17.762237290650194
42045,"Delaware County, Pennsylvania",Delaware County,16.882632509963553
34005,"Burlington County, New Jersey",Burlington County,15.136031740739506
34007,"Camden County, New Jersey",Camden County,14.715629821840837
34015,"Gloucester County, New Jersey",Gloucester County,13.559443943138872
24015,"Cecil County, Maryland",Cecil County,NA
34033,"Salem County, New Jersey",Salem County,NA
