date,Austin,Chicago,Dallas,Houston,Los Angeles,New York,Philadelphia,San Francisco,San Jose,Washington,United States
2022-10-01,36.379076093077366,24.306788400276403,21.081761447880673,14.463273793715214,19.935222668655527,19.35643347132643,27.363909200324905,41.06313257043509,46.98393568247795,31.657411103031507,17.841667178547755
2022-11-01,35.09118141430697,25.219544719973953,18.466465071490585,16.03999355915976,20.767909350310116,20.712364666181195,26.338963147604716,37.90548778764498,41.210693444287585,34.38437799015517,18.513647775668932
2022-12-01,47.08982916647215,23.687880167830542,18.194476350466896,17.954709249306326,19.85067532078253,22.39905772014323,22.965670402264003,36.413840277569165,35.40453991501983,36.25063588079192,18.9579353985053
2023-01-01,45.5884847886703,25.909081221099235,16.75364923041197,16.948079518872756,19.840226036887703,23.85974689109499,23.33265489230746,37.800501916996346,39.33702280509433,41.44417207714733,19.358846990550795
2023-02-01,43.566506397503254,26.13633979949434,21.73072098550168,20.252988775105305,21.538350093318094,23.8005018638474,29.977090392313315,38.588436030506685,39.527939138328385,38.4378404175607,19.933244909309217
2023-03-01,37.44298496409296,21.53936738344184,18.80064616163025,18.162024252431312,22.93123762041589,22.561314229125326,26.351594848303467,39.51690380570026,38.61447212120281,37.092094898682696,19.513994184858557
2023-04-01,35.23592336743758,21.109031578553292,17.599253715036305,16.715487280550654,20.904324037911607,20.822341089272904,25.846315315381112,35.26230052109253,34.206768910973985,36.992453646155425,18.482774059478864
2023-05-01,34.28622461193444,22.13899263189574,22.162640249666314,15.646448230596132,21.474092718696312,21.193202060571473,27.886283835904084,37.95539601961195,29.967767019524054,36.708761930713926,18.90477964657774
2023-06-01,33.72679018668072,23.37683398311445,23.29952562358937,13.57825637759564,22.28080856744007,20.01539326136811,27.19240333394516,37.738056896339174,31.43660550666277,38.07552694391723,18.92729670138483
2023-07-01,31.621234151254583,23.186394410093982,26.926053231976578,12.596337111227534,21.513147984833697,21.980568707060442,29.788883555924105,40.18459661877435,32.28406916296716,36.90200197433591,19.87241120471451
2023-08-01,27.25019506601602,22.879559875227493,24.45900017382529,12.687024716833642,22.795542644067083,24.794498559584053,28.916946387139546,38.97132396966185,39.3126502496052,37.16461990410798,19.4676850158722
2023-09-01,30.87265806925136,21.994427400652437,26.97469593866076,16.205911993908376,23.51669812066113,21.675521871789535,27.728204688104867,36.7646438320863,38.002576058807804,38.097764977799,19.73373633622501
2023-10-01,29.258476946717398,21.092041672053362,23.21396873548218,20.176308552557725,24.046466149896784,24.34558116791217,27.216826537363364,35.003643568135274,40.20258358651022,37.09013859128823,19.744081873968383
2023-11-01,28.38620278906472,24.53728157699603,23.78261985847831,21.484290254597024,25.274887300593797,24.34795123247156,25.481527288356265,40.15662717199267,36.4863789292904,39.12002470961154,20.478353916070017
2023-12-01,36.0997484735061,24.69030357973122,24.671237035525042,24.522292028124923,23.683880994011158,23.8636069630468,25.94360347011365,34.29787516651704,38.34144356609295,37.765117099774,21.887237530728516
2024-01-01,33.335821174576076,29.773276926984565,24.287981401511782,24.809092430907683,25.407694541932162,23.67941551671798,28.883334907602826,34.37626044347951,41.585773813005005,37.524157554797846,22.911042329211604
2024-02-01,32.399759791120296,28.48875941152198,23.34532223744296,22.99278056484094,24.166927310166358,25.189897293989617,31.069618387303922,36.2998270755908,35.91198516141504,37.29607782754644,22.658498669406907
2024-03-01,30.531664742680942,29.071184758962026,25.79436996914269,20.71516193725056,27.067416931917222,23.806932240726265,30.389177365461894,35.429789685402646,43.61298321834216,37.303171653850626,22.912007121789767
2024-04-01,30.924379632459516,28.62631292231922,26.26425035526685,18.487642373544777,24.47889399104245,22.363545228465536,29.255414062773706,32.204801787425545,34.35045348381061,35.401033354336036,21.49582156825124
2024-05-01,32.20032435348828,29.711827647551363,27.847633614021262,16.575492140112214,24.760423274925753,24.749404157907502,25.851289224201786,33.02093600410827,30.94731970223104,38.08988032718335,21.726561269644222
